复仇者联盟2：奥创纪元	演员	詹姆斯·斯派德
复仇者联盟2：奥创纪元	演员	塞缪尔·杰克逊
复仇者联盟2：奥创纪元	演员	唐·钱德尔
复仇者联盟2：奥创纪元	演员	亚伦·泰勒-约翰逊
复仇者联盟2：奥创纪元	演员	伊丽莎白·奥尔森
复仇者联盟2：奥创纪元	演员	保罗·贝坦尼
复仇者联盟2：奥创纪元	演员	寇碧·史莫德斯
复仇者联盟2：奥创纪元	演员	安东尼·麦凯
复仇者联盟2：奥创纪元	演员	海莉·阿特维尔
复仇者联盟2：奥创纪元	演员	伊德里斯·艾尔巴
复仇者联盟2：奥创纪元	演员	斯特兰·斯卡斯加德
复仇者联盟2：奥创纪元	演员	金秀贤
复仇者联盟2：奥创纪元	演员	托马斯·克莱舒曼
复仇者联盟2：奥创纪元	演员	安迪·瑟金斯
复仇者联盟2：奥创纪元	演员	朱莉·德尔佩
复仇者联盟2：奥创纪元	演员	斯坦·李
复仇者联盟2：奥创纪元	演员	亨利·古德曼
复仇者联盟2：奥创纪元	演员	多米尼克·普罗沃斯特-切克利
复仇者联盟2：奥创纪元	演员	艾萨克·安德鲁斯
复仇者联盟2：奥创纪元	类型	动作
复仇者联盟2：奥创纪元	类型	科幻
复仇者联盟2：奥创纪元	类型	奇幻
复仇者联盟2：奥创纪元	类型	冒险
复仇者联盟2：奥创纪元	地区	United States of America_美国
复仇者联盟2：奥创纪元	语言	英语
复仇者联盟2：奥创纪元	语言	韩语
复仇者联盟2：奥创纪元	上映年份	2015.0
复仇者联盟2：奥创纪元	片长	142.0
复仇者联盟2：奥创纪元	别名	Age of Ultron
复仇者联盟2：奥创纪元	别名	The Avengers 2
复仇者联盟2：奥创纪元	别名	After Party
分歧者2：绝地反击	豆瓣评分	5.7
分歧者2：绝地反击	导演	罗伯特·斯文克
分歧者2：绝地反击	编剧	布莱恩·达菲尔德
分歧者2：绝地反击	编剧	阿齐瓦·高斯曼
分歧者2：绝地反击	编剧	马克·鲍姆贝克
分歧者2：绝地反击	演员	谢琳·伍德蕾
分歧者2：绝地反击	演员	提奥·詹姆斯
分歧者2：绝地反击	演员	凯特·温丝莱特
分歧者2：绝地反击	演员	奥克塔维亚·斯宾瑟
分歧者2：绝地反击	演员	杰·科特尼
分歧者2：绝地反击	演员	佐伊·克罗维兹
分歧者2：绝地反击	演员	迈尔斯·特勒
分歧者2：绝地反击	演员	安塞尔·艾尔高特
分歧者2：绝地反击	演员	李美琪
分歧者2：绝地反击	演员	娜奥米·沃茨
分歧者2：绝地反击	演员	梅奇·费法
分歧者2：绝地反击	演员	贾斯蒂斯·利克
分歧者2：绝地反击	演员	本·劳埃德-休斯
分歧者2：绝地反击	演员	托尼·戈德温
分歧者2：绝地反击	演员	艾什莉·贾德
分歧者2：绝地反击	演员	雷·史蒂文森
分歧者2：绝地反击	演员	约翰尼·韦斯顿
分歧者2：绝地反击	演员	苏琪·沃特豪斯
分歧者2：绝地反击	演员	恩杰伊·安东尼
分歧者2：绝地反击	演员	罗莎·萨拉查
分歧者2：绝地反击	演员	肯德里克·克罗斯
分歧者2：绝地反击	演员	丹尼尔·金
分歧者2：绝地反击	类型	动作
分歧者2：绝地反击	类型	爱情
分歧者2：绝地反击	类型	科幻
分歧者2：绝地反击	类型	冒险
分歧者2：绝地反击	地区	United States of America_美国
分歧者2：绝地反击	语言	英语
分歧者2：绝地反击	上映年份	2015.0
分歧者2：绝地反击	片长	119.0
分歧者2：绝地反击	别名	Insurgent
寄生兽	豆瓣评分	7.4
寄生兽	导演	山崎贵
寄生兽	编剧	古泽良太
寄生兽	编剧	山崎贵
寄生兽	编剧	岩明均
寄生兽	演员	染谷将太
寄生兽	演员	深津绘里
寄生兽	演员	桥本爱
寄生兽	演员	东出昌大
寄生兽	演员	大森南朋
寄生兽	演员	北村一辉
寄生兽	演员	余贵美子
寄生兽	演员	皮埃尔泷
寄生兽	演员	新井浩文
寄生兽	演员	国村隼
寄生兽	演员	浅野忠信
寄生兽	演员	阿部隆史
寄生兽	类型	科幻
寄生兽	类型	恐怖
寄生兽	地区	Japan_日本
寄生兽	语言	日语
寄生兽	上映年份	2014.0
寄生兽	片长	109.0
寄生兽	别名	Part 1
疯狂外星人	豆瓣评分	7.3
疯狂外星人	导演	蒂姆·约翰逊
疯狂外星人	编剧	汤姆·J·阿瑟尔
疯狂外星人	编剧	马特·恩贝尔
疯狂外星人	编剧	亚当·雷克斯
疯狂外星人	演员	吉姆·帕森斯
疯狂外星人	演员	蕾哈娜
疯狂外星人	演员	史蒂夫·马丁
